choice	experiment_id	weight	p_zone	a_zone	outward_period	return_period	purpose	CarOwnershipConstant23	WAWE_Cost_Outward	KAWE_Cost_Outward	Bicycle_Cost_Outward	Walk_Cost_Return	Car_Cost_Return	Car_Cost_Outward	WAPE_Cost_Return	Bicycle_Cost_Return	a_CBDNonCore	WAWE_Cost_Return	Walk_Cost_Outward	a_CBDCore	CarOwnershipConstant0	PAWE_Cost_Outward	a_OuterFrame	WAKE_Cost_Return	a_CBDFrame	Bicycle_av	Car_av	PT_Kiss_Access_av	PT_Park_Access_av	PT_Walk_Access_av	Walk_av
2	7247	5.23319739730475	3313	3467	0	14	1001	0	0.0	0.0	0.0	4435.54638671875	630.135192871094	0.0	246077.6875	1490.65258789062	0	472844.75	0.0	0	1	0.0	0	246077.6875	0	1	1	1	1	1	1
2	7248	12.2185489365334	3341	3345	0	14	1001	0	0.0	0.0	0.0	2488.31396484375	725.245239257812	0.0	5852.36083984375	850.963928222656	0	6339.6611328125	0.0	0	0	0.0	0	5852.36083984375	0	1	1	1	1	1	1
2	7249	67.3272600881352	3334	3314	0	14	1001	1	0.0	0.0	0.0	648.802917480469	110.300643920898	0.0	3781.357421875	226.572601318359	0	4389.146484375	0.0	0	0	0.0	0	3781.357421875	0	1	1	1	1	1	1
2	7250	20.2377780080124	3476	3300	0	14	1001	0	0.0	0.0	0.0	560.042358398438	109.276672363281	0.0	4112.36181640625	190.98600769043	0	4037.67016601562	0.0	0	0	0.0	0	4112.36181640625	0	1	1	1	1	1	1
2	7251	74.4196081913999	3439	4792	0	14	1001	1	0.0	0.0	0.0	91934.890625	11678.142578125	0.0	314666.40625	31773.4765625	0	533775.875	0.0	0	0	0.0	0	314666.40625	0	1	1	1	1	1	1
2	7252	74.4196081913999	3439	4792	0	14	1001	1	0.0	0.0	0.0	91934.890625	11678.142578125	0.0	314666.40625	31773.4765625	0	533775.875	0.0	0	0	0.0	0	314666.40625	0	1	1	1	1	1	1
2	7253	22.5038035179039	3284	3303	0	14	1001	1	0.0	0.0	0.0	4158.8232421875	895.33447265625	0.0	4945.0458984375	1400.97619628906	0	5370.54541015625	0.0	0	0	0.0	0	4945.0458984375	0	1	1	1	1	1	1
5	7254	6.52170507072779	3434	3303	0	14	1001	0	0.0	0.0	0.0	2993.671875	523.600280761719	0.0	4398.13232421875	1008.10369873047	0	4219.03271484375	0.0	0	1	0.0	0	4398.13232421875	0	1	1	1	1	1	1
2	7255	6.84727679678363	3434	3482	0	14	1001	0	0.0	0.0	0.0	3772.45458984375	585.530822753906	0.0	5130.54052734375	1272.5986328125	0	5434.33544921875	0.0	0	0	0.0	0	5130.54052734375	0	1	1	1	1	1	1
2	7256	3.89799817266073	4768	3303	0	14	1001	0	0.0	0.0	0.0	3153.60498046875	552.057495117188	0.0	4532.32861328125	1064.11706542969	0	4583.92431640625	0.0	0	0	0.0	0	4532.32861328125	0	1	1	1	1	1	1
2	7257	71.3203786778619	3307	3302	0	14	1001	1	0.0	0.0	0.0	1823.57287597656	322.717132568359	0.0	4308.08203125	614.08642578125	0	4590.8447265625	0.0	0	0	0.0	0	4308.08203125	0	1	1	1	1	1	1
2	7258	29.5505155849377	3342	3345	0	14	1001	1	0.0	0.0	0.0	2483.09301757812	718.507507324219	0.0	5833.16015625	843.910827636719	0	6342.47998046875	0.0	0	0	0.0	0	5833.16015625	0	1	1	1	1	1	1
2	7259	7.75358133392226	3342	3302	0	14	1001	0	0.0	0.0	0.0	856.276733398438	165.813537597656	0.0	4138.642578125	288.723205566406	0	4201.3916015625	0.0	0	0	0.0	0	4138.642578125	0	1	1	1	1	1	1
2	7260	45.5243266890934	3331	3387	14	0	1001	1	13091.595703125	12031.8681640625	3665.83276367188	0.0	0.0	1704.09643554688	0.0	0.0	0	0.0	10850.4765625	0	0	12031.8681640625	0	0.0	0	1	1	1	1	1	1
2	7261	11.299978874718	3334	3347	0	14	1001	0	0.0	0.0	0.0	3445.9921875	578.670593261719	0.0	6264.44482421875	1190.61694335938	0	6789.8310546875	0.0	0	0	0.0	0	6264.44482421875	0	1	1	1	1	1	1
2	7262	7.48279972376649	3480	3305	0	14	1001	0	0.0	0.0	0.0	1688.92065429688	277.29931640625	0.0	5330.1552734375	579.507446289062	0	5371.91748046875	0.0	0	1	0.0	0	5330.1552734375	0	1	1	1	1	1	1
2	7263	59.4964173460571	3475	3303	0	14	1001	1	0.0	0.0	0.0	559.767578125	257.050537109375	0.0	3776.68310546875	196.436172485352	0	3804.31420898438	0.0	0	0	0.0	0	3776.68310546875	0	1	1	1	1	1	1
2	7264	15.1794616858392	3480	3303	0	14	1001	0	0.0	0.0	0.0	667.763977050781	252.109176635742	0.0	3768.88696289062	233.121963500977	0	3817.39672851562	0.0	0	0	0.0	0	3768.88696289062	0	1	1	1	1	1	1
2	7265	3.9073677617167	3294	3303	0	14	1001	0	0.0	0.0	0.0	779.332824707031	248.042449951172	0.0	3642.10400390625	272.143585205078	0	3841.18041992188	0.0	0	1	0.0	0	3642.10400390625	0	1	1	1	1	1	1
2	7266	3.89404325144405	3445	3300	0	14	1001	0	0.0	0.0	0.0	452.320831298828	97.1177291870117	0.0	3954.54833984375	154.849807739258	0	3875.97314453125	0.0	0	1	0.0	0	3954.54833984375	0	1	1	1	1	1	1
2	7267	13.2352548153072	3439	3303	0	14	1001	0	0.0	0.0	0.0	1110.19189453125	316.821350097656	0.0	3808.63940429688	378.674438476562	0	3816.38549804688	0.0	0	0	0.0	0	3808.63940429688	0	1	1	1	1	1	1
2	7268	3.9115681025267	3439	3345	0	14	1001	0	0.0	0.0	0.0	1383.61791992188	529.284545898438	0.0	5510.7294921875	478.884735107422	0	6005.1328125	0.0	0	0	0.0	0	5510.7294921875	0	1	1	1	1	1	1
2	7269	10.0693490197926	3471	3348	0	14	1001	0	0.0	0.0	0.0	3514.96655273438	647.25537109375	0.0	5840.96337890625	1208.34143066406	0	469466.9375	0.0	0	0	0.0	0	5840.96337890625	0	1	1	1	1	1	1
2	7270	47.97432794947	3471	3302	0	14	1001	1	0.0	0.0	0.0	4678.47021484375	901.22314453125	0.0	6016.6337890625	1579.55017089844	0	473383.875	0.0	0	0	0.0	0	6016.6337890625	0	1	1	1	1	1	1
2	7271	8.39976209319199	3470	3323	0	14	1001	0	0.0	0.0	0.0	5017.2978515625	897.391418457031	0.0	7711.62353515625	1699.775390625	0	473772.1875	0.0	0	1	0.0	0	7711.62353515625	0	1	1	1	1	1	1
2	7272	16.1208249704753	3425	3303	0	14	1001	0	0.0	0.0	0.0	3811.20141601562	788.763061523438	0.0	4604.8603515625	1283.59069824219	0	4465.7509765625	0.0	0	0	0.0	0	4604.8603515625	0	1	1	1	1	1	1
2	7273	3.90568280620378	3289	3289	0	14	1001	0	0.0	0.0	0.0	151.827011108398	24.0	0.0	99999.0	58.6171264648438	0	99999.0	0.0	0	0	0.0	0	99999.0	0	1	1	0	0	0	1
2	7274	12.9008658934971	3289	3303	0	14	1001	0	0.0	0.0	0.0	3222.30493164062	695.114990234375	0.0	4418.47021484375	1086.97143554688	0	4467.5234375	0.0	0	0	0.0	0	4418.47021484375	0	1	1	1	1	1	1
2	7275	12.9008658934971	3289	3303	0	14	1001	0	0.0	0.0	0.0	3222.30493164062	695.114990234375	0.0	4418.47021484375	1086.97143554688	0	4467.5234375	0.0	0	0	0.0	0	4418.47021484375	0	1	1	1	1	1	1
6	7276	12.7706983406778	3289	3289	0	14	1001	0	0.0	0.0	0.0	151.827011108398	24.0	0.0	99999.0	58.6171264648438	0	99999.0	0.0	0	1	0.0	0	99999.0	0	1	1	0	0	0	1
